time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0250,0.0238,-0.1759,-0.4205,0.0453,0.1079,
0.0033,-0.0250,0.0238,-0.1759,-0.4205,0.0453,0.1079,
0.0050,-0.0250,0.0238,-0.1759,-0.4206,0.0453,0.1079,
0.0067,-0.0250,0.0238,-0.1759,-0.4206,0.0453,0.1079,
0.0083,-0.0249,0.0238,-0.1759,-0.4207,0.0453,0.1079,
0.0100,-0.0249,0.0238,-0.1760,-0.4207,0.0453,0.1079,
0.0117,-0.0249,0.0238,-0.1760,-0.4207,0.0454,0.1079,
0.0133,-0.0249,0.0238,-0.1760,-0.4208,0.0454,0.1079,
0.0150,-0.0249,0.0238,-0.1760,-0.4208,0.0454,0.1079,
0.0167,-0.0249,0.0238,-0.1760,-0.4209,0.0454,0.1079,
0.0183,-0.0249,0.0238,-0.1760,-0.4209,0.0454,0.1079,
0.0200,-0.0249,0.0238,-0.1761,-0.4210,0.0455,0.1079,
0.0217,-0.0249,0.0238,-0.1761,-0.4210,0.0455,0.1079,
0.0233,-0.0250,0.0238,-0.1761,-0.4210,0.0455,0.1079,
0.0250,-0.0250,0.0238,-0.1761,-0.4210,0.0455,0.1079,
0.0267,-0.0250,0.0238,-0.1760,-0.4211,0.0456,0.1079,
0.0283,-0.0250,0.0238,-0.1760,-0.4210,0.0456,0.1079,
0.0300,-0.0250,0.0238,-0.1760,-0.4210,0.0456,0.1079,
0.0317,-0.0250,0.0238,-0.1760,-0.4210,0.0456,0.1078,
0.0333,-0.0251,0.0238,-0.1760,-0.4210,0.0457,0.1078,
0.0350,-0.0251,0.0238,-0.1759,-0.4209,0.0457,0.1078,
0.0367,-0.0251,0.0238,-0.1759,-0.4208,0.0457,0.1078,
0.0383,-0.0251,0.0238,-0.1758,-0.4207,0.0457,0.1077,
0.0400,-0.0252,0.0238,-0.1758,-0.4206,0.0457,0.1077,
0.0417,-0.0252,0.0238,-0.1757,-0.4205,0.0457,0.1077,
0.0433,-0.0252,0.0238,-0.1756,-0.4203,0.0456,0.1076,
0.0450,-0.0252,0.0237,-0.1756,-0.4202,0.0456,0.1076,
0.0467,-0.0253,0.0237,-0.1755,-0.4200,0.0456,0.1076,
0.0483,-0.0253,0.0237,-0.1754,-0.4198,0.0455,0.1076,
0.0500,-0.0253,0.0237,-0.1754,-0.4197,0.0455,0.1076,
0.0517,-0.0253,0.0237,-0.1753,-0.4195,0.0454,0.1076,
0.0533,-0.0253,0.0237,-0.1753,-0.4193,0.0453,0.1076,
0.0550,-0.0253,0.0237,-0.1752,-0.4192,0.0452,0.1076,
0.0567,-0.0253,0.0237,-0.1752,-0.4191,0.0451,0.1076,
0.0583,-0.0252,0.0237,-0.1752,-0.4189,0.0450,0.1076,
0.0600,-0.0252,0.0237,-0.1752,-0.4188,0.0449,0.1076,
0.0617,-0.0251,0.0237,-0.1752,-0.4188,0.0448,0.1077,
0.0633,-0.0251,0.0237,-0.1752,-0.4188,0.0447,0.1077,
0.0650,-0.0250,0.0237,-0.1753,-0.4188,0.0446,0.1078,
0.0667,-0.0250,0.0237,-0.1754,-0.4189,0.0445,0.1078,
0.0683,-0.0249,0.0237,-0.1755,-0.4190,0.0444,0.1079,
0.0700,-0.0248,0.0237,-0.1756,-0.4192,0.0444,0.1080,
0.0717,-0.0247,0.0238,-0.1757,-0.4195,0.0443,0.1081,
0.0733,-0.0246,0.0238,-0.1759,-0.4198,0.0443,0.1082,
0.0750,-0.0245,0.0238,-0.1761,-0.4202,0.0443,0.1083,
0.0767,-0.0244,0.0238,-0.1763,-0.4206,0.0443,0.1084,
0.0783,-0.0243,0.0239,-0.1765,-0.4211,0.0444,0.1085,
0.0800,-0.0242,0.0239,-0.1768,-0.4216,0.0445,0.1086,
0.0817,-0.0241,0.0239,-0.1770,-0.4222,0.0446,0.1087,
0.0833,-0.0241,0.0240,-0.1773,-0.4228,0.0448,0.1088,
0.0850,-0.0240,0.0240,-0.1775,-0.4234,0.0450,0.1089,
0.0867,-0.0240,0.0240,-0.1777,-0.4240,0.0452,0.1089,
0.0883,-0.0240,0.0241,-0.1779,-0.4247,0.0455,0.1089,
0.0900,-0.0240,0.0241,-0.1781,-0.4253,0.0458,0.1089,
0.0917,-0.0241,0.0241,-0.1783,-0.4258,0.0462,0.1089,
0.0933,-0.0241,0.0241,-0.1784,-0.4263,0.0465,0.1088,
0.0950,-0.0242,0.0241,-0.1784,-0.4267,0.0469,0.1088,
0.0967,-0.0244,0.0242,-0.1784,-0.4269,0.0473,0.1086,
0.0983,-0.0246,0.0241,-0.1783,-0.4271,0.0477,0.1085,
0.1000,-0.0248,0.0241,-0.1781,-0.4271,0.0480,0.1083,
0.1017,-0.0250,0.0241,-0.1779,-0.4269,0.0484,0.1080,
0.1033,-0.0253,0.0241,-0.1776,-0.4265,0.0487,0.1078,
0.1050,-0.0256,0.0240,-0.1772,-0.4260,0.0490,0.1075,
0.1067,-0.0259,0.0239,-0.1767,-0.4252,0.0492,0.1071,
0.1083,-0.0263,0.0239,-0.1761,-0.4242,0.0493,0.1068,
0.1100,-0.0266,0.0238,-0.1755,-0.4230,0.0494,0.1064,
0.1117,-0.0270,0.0237,-0.1748,-0.4216,0.0493,0.1061,
0.1133,-0.0273,0.0236,-0.1740,-0.4199,0.0492,0.1057,
0.1150,-0.0277,0.0234,-0.1732,-0.4181,0.0489,0.1053,
0.1167,-0.0280,0.0233,-0.1723,-0.4161,0.0485,0.1050,
0.1183,-0.0282,0.0232,-0.1714,-0.4140,0.0480,0.1047,
