time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0065,0.0711,-0.1919,-0.3973,-0.0068,-0.0493,
0.0033,0.0065,0.0711,-0.1920,-0.3973,-0.0068,-0.0493,
0.0050,0.0065,0.0712,-0.1920,-0.3973,-0.0068,-0.0493,
0.0067,0.0065,0.0712,-0.1920,-0.3973,-0.0068,-0.0493,
0.0083,0.0065,0.0712,-0.1920,-0.3974,-0.0068,-0.0494,
0.0100,0.0065,0.0712,-0.1920,-0.3974,-0.0068,-0.0494,
0.0117,0.0065,0.0712,-0.1920,-0.3975,-0.0068,-0.0494,
0.0133,0.0065,0.0712,-0.1921,-0.3975,-0.0068,-0.0494,
0.0150,0.0065,0.0712,-0.1921,-0.3975,-0.0068,-0.0494,
0.0167,0.0065,0.0712,-0.1921,-0.3976,-0.0068,-0.0494,
0.0183,0.0065,0.0712,-0.1921,-0.3976,-0.0068,-0.0494,
0.0200,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0217,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0233,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0250,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0267,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0283,0.0065,0.0712,-0.1921,-0.3977,-0.0068,-0.0494,
0.0300,0.0066,0.0712,-0.1921,-0.3977,-0.0068,-0.0493,
0.0317,0.0066,0.0711,-0.1921,-0.3977,-0.0068,-0.0493,
0.0333,0.0066,0.0711,-0.1921,-0.3977,-0.0068,-0.0492,
0.0350,0.0066,0.0711,-0.1920,-0.3976,-0.0068,-0.0492,
0.0367,0.0066,0.0711,-0.1920,-0.3976,-0.0068,-0.0491,
0.0383,0.0066,0.0711,-0.1920,-0.3975,-0.0069,-0.0491,
0.0400,0.0066,0.0710,-0.1919,-0.3974,-0.0069,-0.0490,
0.0417,0.0066,0.0710,-0.1919,-0.3973,-0.0069,-0.0489,
0.0433,0.0066,0.0710,-0.1918,-0.3971,-0.0069,-0.0489,
0.0450,0.0066,0.0709,-0.1917,-0.3970,-0.0069,-0.0488,
0.0467,0.0066,0.0709,-0.1917,-0.3969,-0.0069,-0.0487,
0.0483,0.0066,0.0709,-0.1916,-0.3967,-0.0069,-0.0487,
0.0500,0.0066,0.0709,-0.1915,-0.3966,-0.0069,-0.0486,
0.0517,0.0066,0.0708,-0.1915,-0.3964,-0.0069,-0.0486,
0.0533,0.0066,0.0708,-0.1914,-0.3963,-0.0069,-0.0486,
0.0550,0.0066,0.0708,-0.1914,-0.3961,-0.0069,-0.0486,
0.0567,0.0066,0.0708,-0.1913,-0.3960,-0.0069,-0.0486,
0.0583,0.0066,0.0708,-0.1913,-0.3959,-0.0069,-0.0486,
0.0600,0.0066,0.0708,-0.1913,-0.3958,-0.0068,-0.0486,
0.0617,0.0066,0.0708,-0.1913,-0.3957,-0.0068,-0.0487,
0.0633,0.0065,0.0709,-0.1913,-0.3957,-0.0068,-0.0488,
0.0650,0.0065,0.0709,-0.1913,-0.3957,-0.0068,-0.0489,
0.0667,0.0065,0.0710,-0.1914,-0.3958,-0.0067,-0.0490,
0.0683,0.0064,0.0710,-0.1915,-0.3959,-0.0067,-0.0492,
0.0700,0.0064,0.0711,-0.1916,-0.3961,-0.0067,-0.0494,
0.0717,0.0064,0.0712,-0.1917,-0.3963,-0.0066,-0.0496,
0.0733,0.0063,0.0713,-0.1918,-0.3965,-0.0066,-0.0498,
0.0750,0.0063,0.0714,-0.1920,-0.3969,-0.0066,-0.0500,
0.0767,0.0063,0.0715,-0.1922,-0.3972,-0.0065,-0.0502,
0.0783,0.0062,0.0716,-0.1924,-0.3977,-0.0065,-0.0505,
0.0800,0.0062,0.0717,-0.1926,-0.3981,-0.0065,-0.0507,
0.0817,0.0062,0.0718,-0.1928,-0.3986,-0.0064,-0.0510,
0.0833,0.0062,0.0719,-0.1930,-0.3992,-0.0064,-0.0512,
0.0850,0.0061,0.0720,-0.1933,-0.3997,-0.0064,-0.0514,
