time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0373,0.0216,-0.1919,-0.3600,-0.0651,-0.0319,
0.0033,0.0373,0.0216,-0.1919,-0.3600,-0.0651,-0.0319,
0.0050,0.0373,0.0216,-0.1919,-0.3600,-0.0651,-0.0319,
0.0067,0.0373,0.0216,-0.1919,-0.3600,-0.0651,-0.0319,
0.0083,0.0373,0.0216,-0.1919,-0.3601,-0.0651,-0.0319,
0.0100,0.0373,0.0216,-0.1919,-0.3601,-0.0651,-0.0319,
0.0117,0.0373,0.0216,-0.1920,-0.3601,-0.0651,-0.0319,
0.0133,0.0373,0.0216,-0.1920,-0.3602,-0.0651,-0.0320,
0.0150,0.0373,0.0216,-0.1920,-0.3602,-0.0651,-0.0320,
0.0167,0.0373,0.0216,-0.1920,-0.3602,-0.0651,-0.0320,
0.0183,0.0373,0.0216,-0.1920,-0.3603,-0.0651,-0.0320,
0.0200,0.0373,0.0216,-0.1920,-0.3603,-0.0652,-0.0320,
0.0217,0.0373,0.0216,-0.1920,-0.3603,-0.0652,-0.0320,
0.0233,0.0373,0.0216,-0.1920,-0.3603,-0.0652,-0.0321,
0.0250,0.0373,0.0216,-0.1920,-0.3603,-0.0653,-0.0321,
0.0267,0.0373,0.0216,-0.1920,-0.3603,-0.0653,-0.0321,
0.0283,0.0373,0.0216,-0.1920,-0.3603,-0.0654,-0.0321,
0.0300,0.0373,0.0216,-0.1920,-0.3603,-0.0654,-0.0321,
0.0317,0.0373,0.0216,-0.1919,-0.3602,-0.0655,-0.0322,
0.0333,0.0373,0.0216,-0.1919,-0.3602,-0.0655,-0.0322,
0.0350,0.0373,0.0216,-0.1919,-0.3601,-0.0655,-0.0322,
0.0367,0.0373,0.0216,-0.1918,-0.3601,-0.0656,-0.0322,
0.0383,0.0373,0.0216,-0.1918,-0.3600,-0.0656,-0.0322,
0.0400,0.0373,0.0216,-0.1918,-0.3599,-0.0657,-0.0322,
0.0417,0.0373,0.0216,-0.1917,-0.3598,-0.0657,-0.0322,
0.0433,0.0373,0.0216,-0.1917,-0.3597,-0.0657,-0.0322,
0.0450,0.0373,0.0216,-0.1916,-0.3596,-0.0657,-0.0322,
0.0467,0.0373,0.0216,-0.1915,-0.3594,-0.0657,-0.0321,
0.0483,0.0373,0.0216,-0.1915,-0.3593,-0.0657,-0.0321,
0.0500,0.0373,0.0215,-0.1915,-0.3592,-0.0656,-0.0321,
0.0517,0.0373,0.0215,-0.1914,-0.3591,-0.0656,-0.0320,
0.0533,0.0373,0.0215,-0.1914,-0.3590,-0.0655,-0.0320,
0.0550,0.0373,0.0215,-0.1913,-0.3589,-0.0654,-0.0319,
