time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0293,-0.0519,-0.2081,-0.4284,-0.0664,0.0347,
0.0033,0.0293,-0.0519,-0.2081,-0.4285,-0.0664,0.0347,
0.0050,0.0293,-0.0519,-0.2081,-0.4285,-0.0664,0.0347,
0.0067,0.0293,-0.0519,-0.2081,-0.4285,-0.0664,0.0347,
0.0083,0.0293,-0.0519,-0.2082,-0.4286,-0.0664,0.0347,
0.0100,0.0293,-0.0519,-0.2082,-0.4286,-0.0664,0.0346,
0.0117,0.0293,-0.0519,-0.2082,-0.4287,-0.0664,0.0346,
0.0133,0.0293,-0.0519,-0.2082,-0.4287,-0.0664,0.0346,
0.0150,0.0294,-0.0519,-0.2083,-0.4288,-0.0664,0.0347,
0.0167,0.0294,-0.0519,-0.2083,-0.4288,-0.0664,0.0347,
0.0183,0.0294,-0.0519,-0.2083,-0.4288,-0.0664,0.0347,
0.0200,0.0294,-0.0519,-0.2083,-0.4289,-0.0664,0.0347,
0.0217,0.0294,-0.0519,-0.2083,-0.4289,-0.0664,0.0347,
0.0233,0.0293,-0.0519,-0.2084,-0.4289,-0.0664,0.0348,
0.0250,0.0293,-0.0519,-0.2084,-0.4289,-0.0664,0.0348,
0.0267,0.0293,-0.0519,-0.2084,-0.4289,-0.0664,0.0348,
0.0283,0.0293,-0.0519,-0.2084,-0.4289,-0.0664,0.0349,
0.0300,0.0293,-0.0519,-0.2083,-0.4289,-0.0664,0.0349,
0.0317,0.0293,-0.0519,-0.2083,-0.4288,-0.0664,0.0350,
0.0333,0.0293,-0.0519,-0.2083,-0.4288,-0.0664,0.0351,
0.0350,0.0292,-0.0519,-0.2082,-0.4287,-0.0663,0.0351,
0.0367,0.0292,-0.0519,-0.2082,-0.4286,-0.0663,0.0352,
0.0383,0.0292,-0.0518,-0.2081,-0.4285,-0.0663,0.0352,
0.0400,0.0291,-0.0518,-0.2080,-0.4284,-0.0662,0.0353,
0.0417,0.0291,-0.0518,-0.2080,-0.4282,-0.0662,0.0353,
0.0433,0.0291,-0.0518,-0.2079,-0.4281,-0.0662,0.0354,
0.0450,0.0291,-0.0518,-0.2078,-0.4279,-0.0662,0.0354,
0.0467,0.0290,-0.0518,-0.2077,-0.4278,-0.0661,0.0354,
0.0483,0.0290,-0.0518,-0.2076,-0.4276,-0.0661,0.0354,
0.0500,0.0290,-0.0518,-0.2075,-0.4275,-0.0661,0.0354,
0.0517,0.0290,-0.0518,-0.2074,-0.4273,-0.0661,0.0354,
