time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0445,0.0002,-0.2300,-0.0780,-0.0817,0.1027,
0.0033,0.0445,0.0002,-0.2300,-0.0780,-0.0816,0.1027,
0.0050,0.0445,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0067,0.0445,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0083,0.0446,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0100,0.0446,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0117,0.0446,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0133,0.0446,0.0002,-0.2301,-0.0779,-0.0816,0.1027,
0.0150,0.0446,0.0002,-0.2302,-0.0779,-0.0816,0.1027,
0.0167,0.0446,0.0002,-0.2302,-0.0779,-0.0817,0.1027,
0.0183,0.0446,0.0002,-0.2302,-0.0779,-0.0817,0.1028,
0.0200,0.0446,0.0002,-0.2302,-0.0779,-0.0817,0.1028,
0.0217,0.0446,0.0002,-0.2302,-0.0780,-0.0817,0.1028,
0.0233,0.0446,0.0002,-0.2302,-0.0780,-0.0817,0.1028,
0.0250,0.0446,0.0002,-0.2302,-0.0780,-0.0818,0.1028,
0.0267,0.0446,0.0002,-0.2302,-0.0780,-0.0818,0.1029,
0.0283,0.0446,0.0002,-0.2302,-0.0780,-0.0819,0.1029,
0.0300,0.0446,0.0002,-0.2302,-0.0781,-0.0819,0.1029,
0.0317,0.0446,0.0002,-0.2302,-0.0781,-0.0819,0.1030,
0.0333,0.0446,0.0002,-0.2302,-0.0781,-0.0820,0.1030,
0.0350,0.0446,0.0002,-0.2302,-0.0781,-0.0820,0.1030,
0.0367,0.0446,0.0002,-0.2301,-0.0782,-0.0821,0.1030,
0.0383,0.0446,0.0002,-0.2301,-0.0782,-0.0821,0.1031,
0.0400,0.0446,0.0002,-0.2301,-0.0782,-0.0821,0.1031,
0.0417,0.0445,0.0002,-0.2300,-0.0783,-0.0821,0.1031,
0.0433,0.0445,0.0002,-0.2300,-0.0783,-0.0822,0.1031,
0.0450,0.0445,0.0002,-0.2299,-0.0783,-0.0822,0.1031,
0.0467,0.0445,0.0002,-0.2298,-0.0783,-0.0822,0.1031,
0.0483,0.0445,0.0002,-0.2298,-0.0783,-0.0822,0.1031,
0.0500,0.0444,0.0002,-0.2297,-0.0783,-0.0821,0.1031,
0.0517,0.0444,0.0002,-0.2296,-0.0783,-0.0821,0.1030,
0.0533,0.0444,0.0002,-0.2296,-0.0783,-0.0820,0.1030,
0.0550,0.0444,0.0002,-0.2295,-0.0783,-0.0820,0.1029,
0.0567,0.0444,0.0002,-0.2295,-0.0782,-0.0819,0.1029,
0.0583,0.0443,0.0002,-0.2294,-0.0782,-0.0818,0.1028,
0.0600,0.0443,0.0002,-0.2294,-0.0781,-0.0817,0.1027,
0.0617,0.0443,0.0002,-0.2294,-0.0781,-0.0816,0.1026,
0.0633,0.0443,0.0002,-0.2293,-0.0780,-0.0814,0.1025,
0.0650,0.0443,0.0002,-0.2294,-0.0779,-0.0813,0.1024,
0.0667,0.0443,0.0002,-0.2294,-0.0778,-0.0811,0.1023,
0.0683,0.0443,0.0002,-0.2294,-0.0777,-0.0810,0.1022,
0.0700,0.0443,0.0003,-0.2295,-0.0776,-0.0808,0.1021,
0.0717,0.0444,0.0003,-0.2296,-0.0775,-0.0807,0.1019,
0.0733,0.0444,0.0003,-0.2297,-0.0774,-0.0806,0.1019,
0.0750,0.0444,0.0003,-0.2299,-0.0773,-0.0804,0.1018,
0.0767,0.0445,0.0003,-0.2301,-0.0772,-0.0803,0.1017,
0.0783,0.0446,0.0003,-0.2302,-0.0771,-0.0803,0.1016,
0.0800,0.0446,0.0003,-0.2305,-0.0770,-0.0802,0.1016,
0.0817,0.0447,0.0003,-0.2307,-0.0769,-0.0802,0.1016,
0.0833,0.0448,0.0003,-0.2309,-0.0769,-0.0802,0.1017,
0.0850,0.0448,0.0003,-0.2312,-0.0769,-0.0803,0.1017,
0.0867,0.0449,0.0003,-0.2314,-0.0769,-0.0804,0.1018,
0.0883,0.0450,0.0003,-0.2317,-0.0769,-0.0805,0.1020,
0.0900,0.0451,0.0003,-0.2319,-0.0770,-0.0807,0.1021,
0.0917,0.0452,0.0003,-0.2321,-0.0771,-0.0810,0.1024,
0.0933,0.0452,0.0003,-0.2323,-0.0773,-0.0813,0.1026,
0.0950,0.0453,0.0003,-0.2325,-0.0775,-0.0817,0.1029,
0.0967,0.0454,0.0003,-0.2326,-0.0777,-0.0821,0.1033,
0.0983,0.0454,0.0003,-0.2326,-0.0779,-0.0826,0.1036,
0.1000,0.0454,0.0003,-0.2326,-0.0782,-0.0831,0.1040,
0.1017,0.0454,0.0003,-0.2326,-0.0786,-0.0836,0.1044,
0.1033,0.0454,0.0002,-0.2324,-0.0789,-0.0841,0.1048,
0.1050,0.0453,0.0002,-0.2322,-0.0793,-0.0847,0.1052,
0.1067,0.0453,0.0002,-0.2319,-0.0797,-0.0852,0.1056,
0.1083,0.0452,0.0002,-0.2315,-0.0801,-0.0857,0.1060,
0.1100,0.0450,0.0002,-0.2310,-0.0805,-0.0862,0.1064,
0.1117,0.0449,0.0002,-0.2305,-0.0808,-0.0866,0.1067,
0.1133,0.0447,0.0002,-0.2298,-0.0812,-0.0870,0.1069,
0.1150,0.0444,0.0002,-0.2291,-0.0815,-0.0873,0.1070,
0.1167,0.0442,0.0002,-0.2283,-0.0818,-0.0874,0.1071,
0.1183,0.0439,0.0002,-0.2275,-0.0819,-0.0874,0.1070,
0.1200,0.0437,0.0002,-0.2266,-0.0821,-0.0873,0.1069,
0.1217,0.0434,0.0002,-0.2257,-0.0821,-0.0870,0.1066,
0.1233,0.0431,0.0002,-0.2248,-0.0820,-0.0865,0.1062,
0.1250,0.0428,0.0002,-0.2240,-0.0818,-0.0859,0.1056,
0.1267,0.0425,0.0002,-0.2232,-0.0815,-0.0850,0.1049,
0.1283,0.0422,0.0002,-0.2224,-0.0810,-0.0840,0.1040,
0.1300,0.0420,0.0002,-0.2218,-0.0804,-0.0827,0.1030,
