time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,180.0000,180.0000,180.0000,180.0000,-128.8893,-129.2283,53.3507,-9.9324,
0.0167,180.0000,180.0000,180.0000,180.0000,-128.8903,-129.2297,53.3567,-9.9324,
0.0250,180.0000,180.0000,180.0000,180.0000,-128.8913,-129.2309,53.3620,-9.9324,
0.0333,180.0000,180.0000,180.0000,180.0000,-128.8922,-129.2319,53.3664,-9.9325,
0.0417,180.0000,180.0000,180.0000,180.0000,-128.8929,-129.2328,53.3698,-9.9325,
0.0500,180.0000,180.0000,180.0000,180.0000,-128.8934,-129.2335,53.3722,-9.9325,
0.0583,180.0000,180.0000,180.0000,180.0000,-128.8937,-129.2341,53.3737,-9.9325,
0.0667,180.0000,180.0000,180.0000,180.0000,-128.8940,-129.2347,53.3746,-9.9325,
0.0750,180.0000,180.0000,180.0000,180.0000,-128.8942,-129.2352,53.3750,-9.9325,
0.0833,180.0000,180.0000,180.0000,180.0000,-128.8944,-129.2356,53.3750,-9.9325,
0.0917,180.0000,180.0000,180.0000,180.0000,-128.8946,-129.2360,53.3749,-9.9325,
0.1000,180.0000,180.0000,180.0000,180.0000,-128.8948,-129.2363,53.3747,-9.9325,
0.1083,180.0000,180.0000,180.0000,180.0000,-128.8950,-129.2365,53.3745,-9.9325,
0.1167,180.0000,180.0000,180.0000,180.0000,-128.8953,-129.2366,53.3744,-9.9325,
0.1250,180.0000,180.0000,180.0000,180.0000,-128.8955,-129.2367,53.3745,-9.9325,
0.1333,180.0000,180.0000,180.0000,180.0000,-128.8958,-129.2366,53.3747,-9.9325,
0.1417,180.0000,180.0000,180.0000,180.0000,-128.8961,-129.2366,53.3750,-9.9325,
0.1500,180.0000,180.0000,180.0000,180.0000,-128.8963,-129.2364,53.3753,-9.9325,
0.1583,180.0000,180.0000,180.0000,180.0000,-128.8966,-129.2361,53.3757,-9.9325,
0.1667,180.0000,180.0000,180.0000,180.0000,-128.8968,-129.2358,53.3761,-9.9325,
0.1750,180.0000,180.0000,180.0000,180.0000,-128.8970,-129.2353,53.3764,-9.9326,
0.1833,180.0000,180.0000,180.0000,180.0000,-128.8972,-129.2346,53.3767,-9.9326,
0.1917,180.0000,180.0000,180.0000,180.0000,-128.8974,-129.2338,53.3770,-9.9326,
0.2000,180.0000,180.0000,180.0000,180.0000,-128.8976,-129.2327,53.3772,-9.9326,
0.2083,180.0000,180.0000,180.0000,180.0000,-128.8978,-129.2314,53.3775,-9.9326,
0.2167,180.0000,180.0000,180.0000,180.0000,-128.8979,-129.2298,53.3777,-9.9326,
0.2250,180.0000,180.0000,180.0000,180.0000,-128.8980,-129.2283,53.3778,-9.9326,
0.2333,180.0000,180.0000,180.0000,180.0000,-128.8981,-129.2270,53.3780,-9.9326,
0.2417,180.0000,180.0000,180.0000,180.0000,-128.8981,-129.2263,53.3781,-9.9326,
0.2500,180.0000,180.0000,180.0000,180.0000,-128.8981,-129.2263,53.3781,-9.9326,
0.2583,180.0000,180.0000,180.0000,180.0000,-128.8981,-129.2270,53.3782,-9.9326,
0.2667,180.0000,180.0000,180.0000,180.0000,-128.8980,-129.2279,53.3783,-9.9326,
0.2750,180.0000,180.0000,180.0000,180.0000,-128.8979,-129.2289,53.3784,-9.9326,
