time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0052,0.0159,-0.2378,-0.4111,0.0010,0.0253,
0.0033,-0.0052,0.0159,-0.2378,-0.4112,0.0010,0.0253,
0.0050,-0.0052,0.0159,-0.2378,-0.4112,0.0010,0.0253,
0.0067,-0.0052,0.0159,-0.2378,-0.4112,0.0010,0.0253,
0.0083,-0.0052,0.0159,-0.2378,-0.4113,0.0010,0.0253,
0.0100,-0.0052,0.0159,-0.2379,-0.4113,0.0010,0.0253,
0.0117,-0.0052,0.0159,-0.2379,-0.4113,0.0010,0.0253,
0.0133,-0.0052,0.0159,-0.2379,-0.4114,0.0010,0.0253,
0.0150,-0.0052,0.0159,-0.2379,-0.4114,0.0010,0.0253,
0.0167,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0253,
0.0183,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0253,
0.0200,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0253,
0.0217,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0252,
0.0233,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0252,
0.0250,-0.0052,0.0159,-0.2380,-0.4115,0.0009,0.0252,
0.0267,-0.0052,0.0159,-0.2380,-0.4115,0.0008,0.0252,
0.0283,-0.0052,0.0159,-0.2380,-0.4115,0.0008,0.0251,
0.0300,-0.0052,0.0159,-0.2380,-0.4114,0.0008,0.0251,
0.0317,-0.0052,0.0159,-0.2380,-0.4114,0.0008,0.0250,
0.0333,-0.0052,0.0159,-0.2379,-0.4113,0.0008,0.0250,
0.0350,-0.0052,0.0160,-0.2379,-0.4113,0.0007,0.0250,
0.0367,-0.0052,0.0160,-0.2378,-0.4112,0.0007,0.0249,
0.0383,-0.0052,0.0160,-0.2378,-0.4111,0.0007,0.0249,
0.0400,-0.0052,0.0160,-0.2377,-0.4109,0.0007,0.0249,
0.0417,-0.0052,0.0160,-0.2376,-0.4108,0.0008,0.0249,
0.0433,-0.0052,0.0160,-0.2375,-0.4107,0.0008,0.0249,
0.0450,-0.0052,0.0160,-0.2374,-0.4105,0.0008,0.0249,
0.0467,-0.0052,0.0160,-0.2373,-0.4104,0.0008,0.0249,
0.0483,-0.0052,0.0160,-0.2372,-0.4102,0.0009,0.0249,
0.0500,-0.0052,0.0160,-0.2372,-0.4101,0.0009,0.0249,
0.0517,-0.0052,0.0160,-0.2371,-0.4100,0.0010,0.0249,
0.0533,-0.0052,0.0160,-0.2370,-0.4099,0.0010,0.0250,
