time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,47.6784,-0.5287,89.9447,89.2865,105.6569,116.6498,69.4771,-1.2186,
0.0167,47.6779,-0.4543,89.9398,89.5815,105.6608,116.4526,69.4747,-1.2187,
0.0250,47.6775,-0.3862,89.9433,89.8421,105.6605,116.2788,69.4730,-1.2189,
0.0333,47.6773,-0.3290,89.9584,90.0486,105.6545,116.1426,69.4726,-1.2190,
0.0417,47.6773,-0.2854,89.9834,90.1973,105.6436,116.0476,69.4738,-1.2191,
0.0500,47.6774,-0.2559,90.0153,90.2929,105.6293,115.9912,69.4763,-1.2192,
0.0583,47.6775,-0.2389,90.0514,90.3423,105.6130,115.9684,69.4799,-1.2194,
0.0667,47.6776,-0.2314,90.0896,90.3519,105.5954,115.9747,69.4845,-1.2195,
0.0750,47.6777,-0.2301,90.1289,90.3258,105.5770,116.0065,69.4900,-1.2196,
0.0833,47.6778,-0.2321,90.1689,90.2675,105.5576,116.0610,69.4964,-1.2197,
0.0917,47.6778,-0.2351,90.2095,90.1808,105.5374,116.1352,69.5037,-1.2198,
0.1000,47.6779,-0.2382,90.2509,90.0741,105.5160,116.2229,69.5119,-1.2199,
0.1083,47.6780,-0.2405,90.2930,89.9630,105.4938,116.3130,69.5209,-1.2201,
0.1167,47.6781,-0.2418,90.3357,89.8659,105.4709,116.3929,69.5302,-1.2202,
0.1250,47.6781,-0.2418,90.3786,89.7956,105.4477,116.4538,69.5394,-1.2203,
0.1333,47.6782,-0.2409,90.4207,89.7560,105.4244,116.4933,69.5477,-1.2204,
0.1417,47.6782,-0.2399,90.4616,89.7449,105.4012,116.5130,69.5549,-1.2205,
0.1500,47.6782,-0.2397,90.5013,89.7577,105.3783,116.5168,69.5607,-1.2206,
0.1583,47.6783,-0.2402,90.5406,89.7886,105.3555,116.5087,69.5655,-1.2207,
0.1667,47.6783,-0.2407,90.5803,89.8321,105.3328,116.4928,69.5696,-1.2208,
0.1750,47.6783,-0.2398,90.6203,89.8841,105.3103,116.4718,69.5730,-1.2209,
0.1833,47.6783,-0.2368,90.6608,89.9414,105.2880,116.4482,69.5758,-1.2210,
0.1917,47.6783,-0.2320,90.7022,90.0003,105.2660,116.4239,69.5778,-1.2211,
0.2000,47.6783,-0.2262,90.7440,90.0565,105.2447,116.4015,69.5791,-1.2212,
0.2083,47.6784,-0.2200,90.7848,90.1059,105.2251,116.3834,69.5797,-1.2214,
0.2167,47.6785,-0.2135,90.8234,90.1463,105.2079,116.3713,69.5798,-1.2215,
0.2250,47.6786,-0.2068,90.8589,90.1776,105.1939,116.3653,69.5795,-1.2216,
0.2333,47.6786,-0.2003,90.8903,90.2011,105.1837,116.3645,69.5790,-1.2217,
0.2417,47.6787,-0.1942,90.9166,90.2185,105.1780,116.3678,69.5785,-1.2219,
0.2500,47.6788,-0.1888,90.9376,90.2312,105.1773,116.3746,69.5780,-1.2220,
0.2583,47.6789,-0.1839,90.9532,90.2404,105.1818,116.3840,69.5777,-1.2221,
0.2667,47.6789,-0.1793,90.9635,90.2468,105.1912,116.3958,69.5776,-1.2223,
0.2750,47.6790,-0.1751,90.9691,90.2508,105.2053,116.4098,69.5779,-1.2224,
0.2833,47.6791,-0.1713,90.9707,90.2525,105.2232,116.4255,69.5787,-1.2226,
0.2917,47.6792,-0.1678,90.9692,90.2525,105.2442,116.4425,69.5803,-1.2227,
0.3000,47.6793,-0.1641,90.9653,90.2518,105.2676,116.4596,69.5828,-1.2229,
0.3083,47.6794,-0.1594,90.9598,90.2517,105.2927,116.4759,69.5862,-1.2230,
0.3167,47.6795,-0.1540,90.9534,90.2535,105.3189,116.4903,69.5906,-1.2231,
0.3250,47.6796,-0.1481,90.9469,90.2590,105.3453,116.5017,69.5960,-1.2233,
0.3333,47.6797,-0.1421,90.9404,90.2704,105.3717,116.5085,69.6022,-1.2234,
0.3417,47.6797,-0.1357,90.9340,90.2900,105.3979,116.5095,69.6091,-1.2235,
0.3500,47.6797,-0.1288,90.9278,90.3195,105.4239,116.5037,69.6162,-1.2237,
0.3583,47.6797,-0.1215,90.9216,90.3591,105.4498,116.4912,69.6231,-1.2238,
0.3667,47.6797,-0.1141,90.9151,90.4063,105.4758,116.4733,69.6296,-1.2239,
0.3750,47.6797,-0.1071,90.9071,90.4553,105.5030,116.4538,69.6352,-1.2241,
0.3833,47.6797,-0.1007,90.8954,90.4971,105.5328,116.4388,69.6399,-1.2242,
0.3917,47.6796,-0.0947,90.8778,90.5230,105.5665,116.4346,69.6439,-1.2244,
