time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-1.3408,0.3329,75.4962,96.2899,90.1778,80.0580,94.6807,-0.9343,
0.0167,-1.3372,0.3379,75.5211,96.3909,90.3582,80.1258,94.3299,-0.9359,
0.0250,-1.3277,0.3441,75.5546,96.4937,90.5367,80.1969,93.9729,-0.9376,
0.0333,-1.3092,0.3533,75.5999,96.5984,90.7086,80.2704,93.6124,-0.9394,
0.0417,-1.2817,0.3678,75.6546,96.7048,90.8743,80.3459,93.2506,-0.9411,
0.0500,-1.2467,0.3889,75.7129,96.8129,91.0370,80.4226,92.8887,-0.9429,
0.0583,-1.2065,0.4166,75.7699,96.9230,91.1995,80.5001,92.5280,-0.9446,
0.0667,-1.1634,0.4496,75.8227,97.0353,91.3626,80.5776,92.1695,-0.9463,
0.0750,-1.1196,0.4864,75.8696,97.1499,91.5257,80.6547,91.8142,-0.9480,
0.0833,-1.0763,0.5256,75.9105,97.2666,91.6876,80.7308,91.4631,-0.9497,
0.0917,-1.0337,0.5662,75.9463,97.3851,91.8465,80.8054,91.1172,-0.9513,
0.1000,-0.9913,0.6074,75.9786,97.5049,92.0005,80.8783,90.7772,-0.9529,
0.1083,-0.9485,0.6486,76.0088,97.6255,92.1482,80.9490,90.4439,-0.9545,
0.1167,-0.9047,0.6898,76.0380,97.7464,92.2887,81.0170,90.1178,-0.9560,
0.1250,-0.8587,0.7311,76.0661,97.8672,92.4224,81.0816,89.7992,-0.9575,
0.1333,-0.8097,0.7725,76.0924,97.9867,92.5499,81.1427,89.4885,-0.9589,
0.1417,-0.7574,0.8140,76.1161,98.1036,92.6724,81.2007,89.1856,-0.9603,
0.1500,-0.7020,0.8555,76.1368,98.2167,92.7905,81.2564,88.8906,-0.9616,
0.1583,-0.6439,0.8964,76.1552,98.3251,92.9043,81.3103,88.6031,-0.9629,
0.1667,-0.5840,0.9363,76.1716,98.4287,93.0140,81.3627,88.3229,-0.9641,
0.1750,-0.5233,0.9747,76.1863,98.5277,93.1197,81.4139,88.0496,-0.9653,
0.1833,-0.4634,1.0117,76.1997,98.6223,93.2213,81.4645,87.7826,-0.9665,
