time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,1.3501,0.4689,72.9223,85.7286,84.3727,87.5314,96.5875,-0.9594,
0.0167,1.3593,0.4494,72.9991,85.7622,84.3132,87.5467,96.5626,-0.9596,
0.0250,1.3698,0.4329,73.0679,85.7942,84.2609,87.5624,96.5370,-0.9598,
0.0333,1.3825,0.4216,73.1236,85.8236,84.2203,87.5781,96.5110,-0.9600,
0.0417,1.3977,0.4160,73.1647,85.8501,84.1929,87.5935,96.4847,-0.9602,
0.0500,1.4152,0.4151,73.1932,85.8738,84.1774,87.6086,96.4585,-0.9604,
0.0583,1.4343,0.4174,73.2121,85.8955,84.1713,87.6233,96.4329,-0.9606,
0.0667,1.4542,0.4213,73.2246,85.9159,84.1715,87.6376,96.4081,-0.9608,
0.0750,1.4742,0.4258,73.2332,85.9356,84.1757,87.6514,96.3843,-0.9611,
0.0833,1.4937,0.4301,73.2398,85.9550,84.1819,87.6648,96.3617,-0.9613,
0.0917,1.5124,0.4342,73.2457,85.9744,84.1889,87.6777,96.3403,-0.9615,
0.1000,1.5299,0.4380,73.2514,85.9936,84.1958,87.6903,96.3202,-0.9617,
0.1083,1.5461,0.4417,73.2572,86.0126,84.2022,87.7024,96.3012,-0.9619,
0.1167,1.5609,0.4456,73.2634,86.0312,84.2079,87.7143,96.2835,-0.9621,
0.1250,1.5743,0.4496,73.2695,86.0493,84.2128,87.7257,96.2671,-0.9623,
0.1333,1.5862,0.4533,73.2755,86.0667,84.2170,87.7370,96.2521,-0.9624,
0.1417,1.5965,0.4567,73.2811,86.0831,84.2205,87.7481,96.2383,-0.9626,
0.1500,1.6056,0.4595,73.2862,86.0983,84.2234,87.7592,96.2258,-0.9628,
0.1583,1.6139,0.4615,73.2912,86.1122,84.2256,87.7703,96.2142,-0.9629,
0.1667,1.6219,0.4631,73.2962,86.1247,84.2266,87.7815,96.2035,-0.9630,
0.1750,1.6307,0.4643,73.3021,86.1360,84.2260,87.7928,96.1934,-0.9631,
0.1833,1.6412,0.4654,73.3097,86.1459,84.2228,87.8041,96.1839,-0.9633,
0.1917,1.6548,0.4665,73.3202,86.1545,84.2158,87.8156,96.1748,-0.9634,
0.2000,1.6730,0.4674,73.3348,86.1615,84.2036,87.8276,96.1661,-0.9634,
0.2083,1.6972,0.4681,73.3544,86.1666,84.1848,87.8404,96.1579,-0.9635,
0.2167,1.7289,0.4684,73.3796,86.1694,84.1581,87.8541,96.1502,-0.9636,
0.2250,1.7695,0.4682,73.4108,86.1695,84.1226,87.8691,96.1431,-0.9636,
0.2333,1.8202,0.4675,73.4480,86.1666,84.0774,87.8858,96.1366,-0.9636,
0.2417,1.8819,0.4662,73.4911,86.1601,84.0224,87.9046,96.1306,-0.9637,
0.2500,1.9554,0.4643,73.5394,86.1496,83.9578,87.9260,96.1249,-0.9637,
0.2583,2.0414,0.4620,73.5921,86.1347,83.8842,87.9508,96.1191,-0.9637,
0.2667,2.1404,0.4596,73.6486,86.1148,83.8026,87.9797,96.1127,-0.9637,
