time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0135,0.0021,-0.2501,-0.4530,-0.0286,0.0857,
0.0033,0.0135,0.0021,-0.2501,-0.4530,-0.0286,0.0857,
0.0050,0.0135,0.0021,-0.2502,-0.4531,-0.0286,0.0857,
0.0067,0.0135,0.0021,-0.2502,-0.4531,-0.0286,0.0857,
0.0083,0.0135,0.0021,-0.2502,-0.4532,-0.0286,0.0857,
0.0100,0.0135,0.0021,-0.2502,-0.4532,-0.0286,0.0858,
0.0117,0.0135,0.0021,-0.2502,-0.4532,-0.0286,0.0858,
0.0133,0.0135,0.0021,-0.2503,-0.4533,-0.0286,0.0858,
0.0150,0.0136,0.0021,-0.2503,-0.4533,-0.0286,0.0858,
0.0167,0.0136,0.0021,-0.2503,-0.4534,-0.0286,0.0858,
0.0183,0.0136,0.0021,-0.2503,-0.4534,-0.0286,0.0858,
0.0200,0.0136,0.0021,-0.2503,-0.4534,-0.0286,0.0858,
0.0217,0.0136,0.0021,-0.2503,-0.4535,-0.0286,0.0858,
0.0233,0.0136,0.0021,-0.2503,-0.4535,-0.0286,0.0857,
0.0250,0.0136,0.0021,-0.2503,-0.4535,-0.0286,0.0857,
0.0267,0.0136,0.0021,-0.2503,-0.4535,-0.0286,0.0857,
0.0283,0.0136,0.0021,-0.2503,-0.4535,-0.0286,0.0856,
0.0300,0.0136,0.0021,-0.2502,-0.4534,-0.0286,0.0856,
0.0317,0.0136,0.0021,-0.2502,-0.4534,-0.0286,0.0855,
0.0333,0.0136,0.0021,-0.2502,-0.4533,-0.0286,0.0854,
0.0350,0.0136,0.0020,-0.2501,-0.4532,-0.0286,0.0853,
0.0367,0.0136,0.0020,-0.2500,-0.4531,-0.0286,0.0852,
0.0383,0.0136,0.0020,-0.2500,-0.4530,-0.0286,0.0852,
0.0400,0.0136,0.0019,-0.2499,-0.4529,-0.0287,0.0851,
0.0417,0.0136,0.0019,-0.2498,-0.4528,-0.0287,0.0850,
0.0433,0.0136,0.0019,-0.2497,-0.4526,-0.0287,0.0849,
0.0450,0.0136,0.0019,-0.2497,-0.4524,-0.0287,0.0848,
0.0467,0.0136,0.0018,-0.2496,-0.4523,-0.0287,0.0848,
0.0483,0.0136,0.0018,-0.2495,-0.4521,-0.0287,0.0847,
0.0500,0.0136,0.0018,-0.2494,-0.4520,-0.0288,0.0847,
0.0517,0.0136,0.0017,-0.2494,-0.4518,-0.0288,0.0846,
0.0533,0.0136,0.0017,-0.2493,-0.4517,-0.0288,0.0846,
0.0550,0.0136,0.0017,-0.2493,-0.4515,-0.0288,0.0847,
0.0567,0.0136,0.0017,-0.2492,-0.4514,-0.0288,0.0847,
0.0583,0.0135,0.0017,-0.2492,-0.4514,-0.0288,0.0848,
0.0600,0.0135,0.0017,-0.2492,-0.4513,-0.0288,0.0849,
0.0617,0.0135,0.0018,-0.2493,-0.4513,-0.0288,0.0851,
0.0633,0.0135,0.0018,-0.2494,-0.4514,-0.0288,0.0852,
0.0650,0.0134,0.0018,-0.2495,-0.4515,-0.0288,0.0854,
0.0667,0.0134,0.0019,-0.2496,-0.4516,-0.0288,0.0857,
0.0683,0.0134,0.0020,-0.2497,-0.4518,-0.0287,0.0859,
0.0700,0.0134,0.0020,-0.2499,-0.4521,-0.0287,0.0862,
0.0717,0.0133,0.0021,-0.2501,-0.4524,-0.0287,0.0865,
0.0733,0.0133,0.0022,-0.2504,-0.4528,-0.0286,0.0868,
0.0750,0.0133,0.0023,-0.2506,-0.4532,-0.0286,0.0871,
0.0767,0.0133,0.0025,-0.2509,-0.4537,-0.0285,0.0874,
0.0783,0.0133,0.0026,-0.2512,-0.4542,-0.0284,0.0878,
0.0800,0.0133,0.0027,-0.2515,-0.4548,-0.0284,0.0880,
0.0817,0.0133,0.0028,-0.2518,-0.4553,-0.0283,0.0883,
0.0833,0.0133,0.0029,-0.2521,-0.4559,-0.0282,0.0885,
0.0850,0.0133,0.0030,-0.2524,-0.4565,-0.0282,0.0887,
0.0867,0.0134,0.0031,-0.2526,-0.4571,-0.0281,0.0888,
0.0883,0.0134,0.0032,-0.2529,-0.4577,-0.0280,0.0889,
0.0900,0.0135,0.0032,-0.2530,-0.4582,-0.0280,0.0888,
0.0917,0.0135,0.0033,-0.2532,-0.4586,-0.0279,0.0887,
0.0933,0.0136,0.0033,-0.2532,-0.4589,-0.0279,0.0885,
0.0950,0.0137,0.0032,-0.2532,-0.4591,-0.0279,0.0882,
0.0967,0.0138,0.0032,-0.2531,-0.4592,-0.0279,0.0877,
0.0983,0.0138,0.0031,-0.2529,-0.4592,-0.0279,0.0872,
0.1000,0.0139,0.0029,-0.2527,-0.4589,-0.0280,0.0865,
0.1017,0.0140,0.0027,-0.2523,-0.4585,-0.0280,0.0858,
0.1033,0.0141,0.0025,-0.2518,-0.4579,-0.0281,0.0849,
0.1050,0.0142,0.0023,-0.2512,-0.4571,-0.0283,0.0839,
0.1067,0.0143,0.0020,-0.2505,-0.4561,-0.0284,0.0829,
0.1083,0.0144,0.0016,-0.2497,-0.4549,-0.0286,0.0818,
0.1100,0.0145,0.0012,-0.2488,-0.4535,-0.0287,0.0806,
0.1117,0.0145,0.0008,-0.2478,-0.4518,-0.0290,0.0794,
0.1133,0.0146,0.0004,-0.2468,-0.4500,-0.0292,0.0783,
