time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,-0.1923,2.7480,81.4389,87.6097,84.7055,85.3546,93.0333,-1.1479,
0.0167,-0.2254,2.7860,81.4407,87.6633,84.7009,85.2906,93.0408,-1.1478,
0.0250,-0.2568,2.8159,81.4416,87.7146,84.6963,85.2295,93.0472,-1.1477,
0.0333,-0.2828,2.8350,81.4409,87.7604,84.6919,85.1749,93.0514,-1.1476,
0.0417,-0.3001,2.8451,81.4386,87.7977,84.6876,85.1298,93.0527,-1.1475,
0.0500,-0.3088,2.8498,81.4354,87.8248,84.6829,85.0954,93.0516,-1.1474,
0.0583,-0.3112,2.8520,81.4317,87.8423,84.6776,85.0709,93.0491,-1.1473,
0.0667,-0.3101,2.8538,81.4282,87.8516,84.6715,85.0543,93.0462,-1.1472,
0.0750,-0.3072,2.8555,81.4256,87.8551,84.6647,85.0436,93.0435,-1.1471,
0.0833,-0.3033,2.8565,81.4238,87.8549,84.6573,85.0365,93.0414,-1.1471,
0.0917,-0.2993,2.8563,81.4227,87.8530,84.6498,85.0315,93.0403,-1.1470,
0.1000,-0.2954,2.8550,81.4221,87.8508,84.6425,85.0273,93.0400,-1.1469,
0.1083,-0.2922,2.8534,81.4216,87.8490,84.6357,85.0231,93.0406,-1.1469,
0.1167,-0.2896,2.8518,81.4210,87.8474,84.6296,85.0185,93.0417,-1.1468,
0.1250,-0.2876,2.8501,81.4200,87.8459,84.6243,85.0132,93.0433,-1.1468,
0.1333,-0.2858,2.8480,81.4186,87.8441,84.6197,85.0075,93.0450,-1.1467,
0.1417,-0.2841,2.8458,81.4168,87.8419,84.6157,85.0015,93.0466,-1.1466,
0.1500,-0.2819,2.8443,81.4148,87.8388,84.6123,84.9956,93.0477,-1.1466,
0.1583,-0.2785,2.8440,81.4125,87.8346,84.6094,84.9902,93.0485,-1.1465,
0.1667,-0.2736,2.8454,81.4099,87.8295,84.6070,84.9856,93.0486,-1.1465,
0.1750,-0.2677,2.8487,81.4070,87.8233,84.6051,84.9820,93.0481,-1.1464,
0.1833,-0.2610,2.8540,81.4036,87.8161,84.6037,84.9794,93.0470,-1.1464,
0.1917,-0.2538,2.8611,81.3996,87.8079,84.6028,84.9779,93.0452,-1.1463,
0.2000,-0.2458,2.8684,81.3947,87.7991,84.6025,84.9773,93.0426,-1.1463,
0.2083,-0.2364,2.8740,81.3888,87.7901,84.6029,84.9776,93.0391,-1.1463,
0.2167,-0.2248,2.8770,81.3813,87.7809,84.6042,84.9786,93.0346,-1.1462,
0.2250,-0.2099,2.8774,81.3715,87.7712,84.6070,84.9802,93.0289,-1.1462,
0.2333,-0.1903,2.8762,81.3584,87.7606,84.6120,84.9818,93.0219,-1.1461,
0.2417,-0.1645,2.8750,81.3407,87.7488,84.6201,84.9831,93.0134,-1.1461,
0.2500,-0.1311,2.8753,81.3169,87.7359,84.6324,84.9836,93.0030,-1.1460,
0.2583,-0.0894,2.8777,81.2853,87.7220,84.6503,84.9831,92.9902,-1.1460,
0.2667,-0.0385,2.8819,81.2443,87.7077,84.6752,84.9813,92.9747,-1.1460,
0.2750,0.0221,2.8873,81.1926,87.6931,84.7085,84.9783,92.9559,-1.1459,
0.2833,0.0924,2.8940,81.1289,87.6778,84.7516,84.9740,92.9334,-1.1459,
0.2917,0.1712,2.9020,81.0527,87.6617,84.8056,84.9686,92.9066,-1.1458,
0.3000,0.2558,2.9109,80.9638,87.6449,84.8712,84.9624,92.8752,-1.1458,
0.3083,0.3426,2.9198,80.8627,87.6276,84.9485,84.9557,92.8386,-1.1458,
0.3167,0.4280,2.9279,80.7511,87.6101,85.0367,84.9483,92.7968,-1.1457,
0.3250,0.5095,2.9354,80.6313,87.5923,85.1336,84.9404,92.7501,-1.1457,
0.3333,0.5859,2.9425,80.5071,87.5744,85.2361,84.9319,92.6987,-1.1457,
0.3417,0.6570,2.9497,80.3822,87.5559,85.3407,84.9227,92.6435,-1.1457,
0.3500,0.7231,2.9571,80.2603,87.5369,85.4435,84.9129,92.5853,-1.1456,
0.3583,0.7843,2.9650,80.1445,87.5168,85.5414,84.9027,92.5248,-1.1456,
0.3667,0.8407,2.9728,80.0373,87.4953,85.6318,84.8922,92.4626,-1.1455,
0.3750,0.8924,2.9800,79.9401,87.4721,85.7126,84.8819,92.3993,-1.1455,
0.3833,0.9394,2.9861,79.8538,87.4468,85.7826,84.8718,92.3354,-1.1454,
0.3917,0.9819,2.9911,79.7784,87.4194,85.8410,84.8622,92.2709,-1.1453,
0.4000,1.0200,2.9957,79.7133,87.3901,85.8872,84.8534,92.2060,-1.1451,
