time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0211,0.0299,-0.2381,0.0147,0.0025,-0.0213,
0.0033,0.0211,0.0299,-0.2382,0.0147,0.0025,-0.0213,
0.0050,0.0211,0.0299,-0.2382,0.0147,0.0025,-0.0213,
0.0067,0.0211,0.0299,-0.2382,0.0147,0.0025,-0.0213,
0.0083,0.0211,0.0299,-0.2382,0.0147,0.0025,-0.0213,
0.0100,0.0211,0.0299,-0.2383,0.0147,0.0025,-0.0213,
0.0117,0.0211,0.0299,-0.2383,0.0147,0.0025,-0.0213,
0.0133,0.0211,0.0299,-0.2383,0.0147,0.0025,-0.0213,
0.0150,0.0211,0.0299,-0.2384,0.0147,0.0025,-0.0213,
0.0167,0.0211,0.0299,-0.2384,0.0147,0.0025,-0.0213,
0.0183,0.0211,0.0299,-0.2384,0.0147,0.0025,-0.0213,
0.0200,0.0211,0.0299,-0.2384,0.0147,0.0025,-0.0213,
0.0217,0.0211,0.0300,-0.2384,0.0147,0.0026,-0.0213,
0.0233,0.0211,0.0300,-0.2384,0.0147,0.0026,-0.0213,
0.0250,0.0211,0.0300,-0.2384,0.0147,0.0026,-0.0213,
0.0267,0.0211,0.0300,-0.2384,0.0147,0.0026,-0.0213,
0.0283,0.0211,0.0300,-0.2384,0.0147,0.0026,-0.0213,
0.0300,0.0211,0.0300,-0.2383,0.0147,0.0026,-0.0213,
0.0317,0.0211,0.0299,-0.2383,0.0146,0.0025,-0.0213,
0.0333,0.0210,0.0299,-0.2382,0.0146,0.0025,-0.0213,
0.0350,0.0210,0.0299,-0.2382,0.0146,0.0025,-0.0213,
0.0367,0.0210,0.0299,-0.2381,0.0146,0.0025,-0.0213,
0.0383,0.0210,0.0299,-0.2380,0.0146,0.0025,-0.0212,
0.0400,0.0209,0.0299,-0.2379,0.0146,0.0025,-0.0212,
0.0417,0.0209,0.0299,-0.2378,0.0146,0.0024,-0.0212,
0.0433,0.0209,0.0298,-0.2377,0.0146,0.0024,-0.0212,
0.0450,0.0209,0.0298,-0.2376,0.0146,0.0024,-0.0212,
0.0467,0.0208,0.0298,-0.2375,0.0146,0.0023,-0.0212,
0.0483,0.0208,0.0298,-0.2374,0.0146,0.0023,-0.0212,
0.0500,0.0208,0.0297,-0.2373,0.0147,0.0023,-0.0212,
0.0517,0.0208,0.0297,-0.2372,0.0147,0.0022,-0.0212,
