time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.4144,48.3729,86.0017,98.0687,97.0428,100.2888,70.6399,-1.4537,
0.0167,48.4143,48.3728,85.9951,98.0531,97.0347,100.3139,70.5811,-1.4537,
0.0250,48.4143,48.3727,85.9905,98.0383,97.0258,100.3380,70.5246,-1.4537,
0.0333,48.4142,48.3724,85.9893,98.0250,97.0157,100.3599,70.4727,-1.4537,
0.0417,48.4142,48.3721,85.9921,98.0133,97.0046,100.3792,70.4273,-1.4537,
0.0500,48.4142,48.3716,85.9983,98.0023,96.9932,100.3959,70.3890,-1.4536,
0.0583,48.4142,48.3711,86.0064,97.9908,96.9821,100.4110,70.3571,-1.4536,
0.0667,48.4142,48.3706,86.0148,97.9780,96.9720,100.4250,70.3305,-1.4536,
0.0750,48.4143,48.3702,86.0222,97.9636,96.9630,100.4381,70.3080,-1.4535,
0.0833,48.4143,48.3699,86.0277,97.9479,96.9552,100.4498,70.2885,-1.4535,
0.0917,48.4143,48.3697,86.0311,97.9318,96.9483,100.4597,70.2711,-1.4534,
0.1000,48.4144,48.3696,86.0324,97.9164,96.9422,100.4676,70.2553,-1.4533,
0.1083,48.4144,48.3695,86.0317,97.9027,96.9363,100.4731,70.2410,-1.4532,
0.1167,48.4144,48.3693,86.0292,97.8916,96.9306,100.4766,70.2278,-1.4532,
0.1250,48.4144,48.3690,86.0257,97.8836,96.9244,100.4778,70.2155,-1.4531,
0.1333,48.4144,48.3686,86.0215,97.8793,96.9174,100.4767,70.2038,-1.4530,
0.1417,48.4144,48.3682,86.0172,97.8790,96.9096,100.4732,70.1921,-1.4528,
0.1500,48.4144,48.3678,86.0130,97.8824,96.9007,100.4670,70.1803,-1.4527,
0.1583,48.4143,48.3673,86.0088,97.8892,96.8910,100.4580,70.1679,-1.4526,
0.1667,48.4143,48.3668,86.0044,97.8991,96.8808,100.4457,70.1548,-1.4525,
0.1750,48.4143,48.3664,86.0000,97.9119,96.8700,100.4301,70.1411,-1.4524,
0.1833,48.4143,48.3659,85.9955,97.9273,96.8589,100.4111,70.1268,-1.4523,
0.1917,48.4142,48.3654,85.9912,97.9450,96.8478,100.3890,70.1121,-1.4521,
0.2000,48.4142,48.3649,85.9870,97.9650,96.8366,100.3641,70.0969,-1.4520,
0.2083,48.4142,48.3645,85.9828,97.9870,96.8257,100.3368,70.0815,-1.4519,
